127.0.0.1 - - [19/Sep/2017:12:36:21 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:11 -0300] "GET /sysgeventos/app/rolebsb/home HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:11 -0300] "GET /sysgeventos/static/css/normalize.css HTTP/1.1" 200 8164
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:11 -0300] "GET /sysgeventos/static/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:12 -0300] "GET /sysgeventos/static/css/rolebsb.css HTTP/1.1" 200 4570
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:12 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:12 -0300] "GET /sysgeventos/static/js/jquery-2.2.4.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:12 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap-theme.css HTTP/1.1" 200 26132
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:13 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:13 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:18 -0300] "GET /sysgeventos/app/rolebsb/login HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:18 -0300] "GET /sysgeventos/static/css/normalize.css HTTP/1.1" 200 8164
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:18 -0300] "GET /sysgeventos/static/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:18 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap-theme.css HTTP/1.1" 200 26132
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:18 -0300] "GET /sysgeventos/static/js/jquery-2.2.4.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:18 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:19 -0300] "GET /sysgeventos/app/rolebsb/home HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:20 -0300] "GET /sysgeventos/static/js/jquery-2.2.4.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:20 -0300] "GET /sysgeventos/static/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:20 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap-theme.css HTTP/1.1" 200 26132
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:20 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:20 -0300] "GET /sysgeventos/static/css/rolebsb.css HTTP/1.1" 200 4570
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:20 -0300] "GET /sysgeventos/static/css/normalize.css HTTP/1.1" 200 8164
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:44:21 -0300] "GET /sysgeventos/app/rolebsb/noticias HTTP/1.1" 200 2757
