0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:48 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap-theme.css HTTP/1.1" 200 26132
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:48 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:48 -0300] "GET /sysgeventos/static/js/jquery-2.2.4.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:48 -0300] "GET /sysgeventos/static/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:50 -0300] "GET /sysgeventos/app/rolebsb/login HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:50 -0300] "GET /sysgeventos/static/css/normalize.css HTTP/1.1" 200 8164
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:50 -0300] "GET /sysgeventos/static/js/jquery-2.2.4.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:50 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap-theme.css HTTP/1.1" 200 26132
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:50 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:50 -0300] "GET /sysgeventos/static/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:51 -0300] "GET /sysgeventos/app/rolebsb/home HTTP/1.1" 200 3754
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:52 -0300] "GET /sysgeventos/app/rolebsb/eventos/7 HTTP/1.1" 200 2992
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:53 -0300] "GET /sysgeventos/static/css/normalize.css HTTP/1.1" 200 8164
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:53 -0300] "GET /sysgeventos/static/css/rolebsb.css HTTP/1.1" 200 3466
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:53 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:53 -0300] "GET /sysgeventos/static/js/jquery-2.2.4.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:53 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap-theme.css HTTP/1.1" 200 26132
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:53 -0300] "GET /sysgeventos/static/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:56 -0300] "GET /sysgeventos/app/rolebsb/login HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:56 -0300] "GET /sysgeventos/static/css/normalize.css HTTP/1.1" 200 8164
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:56 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:56 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap-theme.css HTTP/1.1" 200 26132
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:56 -0300] "GET /sysgeventos/static/js/jquery-2.2.4.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:56 -0300] "GET /sysgeventos/static/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:58 -0300] "GET /sysgeventos/app/rolebsb/eventos/7 HTTP/1.1" 200 2992
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:43:59 -0300] "GET /sysgeventos/app/rolebsb/home HTTP/1.1" 200 3754
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:22 -0300] "GET /sysgeventos/app/rolebsb/login HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:22 -0300] "GET /sysgeventos/static/css/normalize.css HTTP/1.1" 200 8164
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:22 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap-theme.css HTTP/1.1" 200 26132
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:22 -0300] "GET /sysgeventos/static/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:22 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:22 -0300] "GET /sysgeventos/static/js/jquery-2.2.4.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:29 -0300] "POST /sysgeventos/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:29 -0300] "GET /sysgeventos/app HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:30 -0300] "GET /sysgeventos/app/organizador/eventos HTTP/1.1" 200 5881
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:30 -0300] "GET /sysgeventos/static/css/normalize.css HTTP/1.1" 200 8164
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:30 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap-theme.css HTTP/1.1" 200 26132
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:30 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:30 -0300] "GET /sysgeventos/static/css/rolebsb.css HTTP/1.1" 200 3466
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:30 -0300] "GET /sysgeventos/static/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:30 -0300] "GET /sysgeventos/static/js/jquery-2.2.4.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:34 -0300] "GET /sysgeventos/app/organizador/eventos HTTP/1.1" 200 5881
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:34 -0300] "GET /sysgeventos/static/css/rolebsb.css HTTP/1.1" 200 3466
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:34 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:34 -0300] "GET /sysgeventos/static/css/normalize.css HTTP/1.1" 200 8164
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:34 -0300] "GET /sysgeventos/static/bootstrap/css/bootstrap-theme.css HTTP/1.1" 200 26132
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:34 -0300] "GET /sysgeventos/static/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:34 -0300] "GET /sysgeventos/static/js/jquery-2.2.4.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:35 -0300] "GET /sysgeventos/app/organizador/mensagem HTTP/1.1" 200 3577
0:0:0:0:0:0:0:1 - - [10/Sep/2017:10:44:35 -0300] "GET /sysgeventos/static/css/normalize.css HTTP/1.1" 200 8164
